x_coordinate ,x_index,y_coordinate ,y_index
2107750.0,6668,-2940000.0,7924
2163750.0,6724,-2927000.0,7911
2220750.0,6781,-2914000.0,7898
2277750.0,6838,-2900000.0,7884
2333750.0,6894,-2887000.0,7871
2390750.0,6951,-2872000.0,7856
2446750.0,7007,-2858000.0,7842
2502750.0,7063,-2843000.0,7827
2559750.0,7120,-2828000.0,7812
2615750.0,7176,-2812000.0,7796
2671750.0,7232,-2797000.0,7781
2727750.0,7288,-2780000.0,7764
2782750.0,7343,-2764000.0,7748
2838750.0,7399,-2747000.0,7731
2894750.0,7455,-2730000.0,7714
2949750.0,7510,-2712000.0,7696
3005750.0,7566,-2694000.0,7678
3060750.0,7621,-2676000.0,7660
3115750.0,7676,-2658000.0,7642
3170750.0,7731,-2639000.0,7623
3225750.0,7786,-2620000.0,7604
-4529250.0,31,-1983000.0,6967
-4478250.0,82,-2010000.0,6994
-4426250.0,134,-2037000.0,7021
-4375250.0,185,-2063000.0,7047
-4323250.0,237,-2089000.0,7073
-4271250.0,289,-2115000.0,7099
-4219250.0,341,-2140000.0,7124
-4167250.0,393,-2165000.0,7149
-4115250.0,445,-2190000.0,7174
-4063250.0,497,-2215000.0,7199
-4010250.0,550,-2239000.0,7223
-3957250.0,603,-2263000.0,7247
-3905250.0,655,-2286000.0,7270
-3852250.0,708,-2310000.0,7294
-3799250.0,761,-2333000.0,7317
-3745250.0,815,-2355000.0,7339
-3692250.0,868,-2378000.0,7362
-3638250.0,922,-2400000.0,7384
-3585250.0,975,-2421000.0,7405
-3531250.0,1029,-2442000.0,7426
-3477250.0,1083,-2464000.0,7448
-3423250.0,1137,-2484000.0,7468
-3369250.0,1191,-2505000.0,7489
-3315250.0,1245,-2525000.0,7509
-3260250.0,1300,-2544000.0,7528
-3206250.0,1354,-2564000.0,7548
-3151250.0,1409,-2583000.0,7567
-3096250.0,1464,-2601000.0,7585
-3042250.0,1518,-2620000.0,7604
-2987250.0,1573,-2638000.0,7622
-2932250.0,1628,-2656000.0,7640
-2876250.0,1684,-2673000.0,7657
-2821250.0,1739,-2690000.0,7674
-2766250.0,1794,-2707000.0,7691
-2710250.0,1850,-2723000.0,7707
-2655250.0,1905,-2739000.0,7723
-2599250.0,1961,-2755000.0,7739
-2543250.0,2017,-2771000.0,7755
-2488250.0,2072,-2786000.0,7770
-2432250.0,2128,-2800000.0,7784
-2376250.0,2184,-2815000.0,7799
-2319250.0,2241,-2829000.0,7813
-2263250.0,2297,-2843000.0,7827
-2207250.0,2353,-2856000.0,7840
-2151250.0,2409,-2869000.0,7853
-2094250.0,2466,-2882000.0,7866
-2038250.0,2522,-2894000.0,7878
-1981250.0,2579,-2906000.0,7890
-1925250.0,2635,-2918000.0,7902
-1868250.0,2692,-2929000.0,7913
-1811250.0,2749,-2940000.0,7924
-1754250.0,2806,-2951000.0,7935
-1697250.0,2863,-2961000.0,7945
-1640250.0,2920,-2971000.0,7955
-1583250.0,2977,-2981000.0,7965
-1526250.0,3034,-2990000.0,7974
-1469250.0,3091,-2999000.0,7983
-1412250.0,3148,-3008000.0,7992
-1355250.0,3205,-3016000.0,8000
-1297250.0,3263,-3024000.0,8008
-1240250.0,3320,-3032000.0,8016
-1183250.0,3377,-3039000.0,8023
-1125250.0,3435,-3046000.0,8030
-1068250.0,3492,-3053000.0,8037
-1010250.0,3550,-3059000.0,8043
-953250.0,3607,-3065000.0,8049
-895250.0,3665,-3070000.0,8054
-837250.0,3723,-3075000.0,8059
-780250.0,3780,-3080000.0,8064
-722250.0,3838,-3085000.0,8069
-664250.0,3896,-3089000.0,8073
664750.0,5225,-3089000.0,8073
722750.0,5283,-3085000.0,8069
779750.0,5340,-3080000.0,8064
837750.0,5398,-3075000.0,8059
895750.0,5456,-3070000.0,8054
952750.0,5513,-3065000.0,8049
1010750.0,5571,-3059000.0,8043
1067750.0,5628,-3053000.0,8037
1125750.0,5686,-3046000.0,8030
1182750.0,5743,-3039000.0,8023
1239750.0,5800,-3032000.0,8016
1297750.0,5858,-3024000.0,8008
1354750.0,5915,-3016000.0,8000
1411750.0,5972,-3008000.0,7992
1469750.0,6030,-2999000.0,7983
1526750.0,6087,-2990000.0,7974
1583750.0,6144,-2981000.0,7965
1640750.0,6201,-2971000.0,7955
1697750.0,6258,-2961000.0,7945
1754750.0,6315,-2951000.0,7935
1811750.0,6372,-2940000.0,7924
1867750.0,6428,-2929000.0,7913
1924750.0,6485,-2918000.0,7902
1981750.0,6542,-2906000.0,7890
2037750.0,6598,-2894000.0,7878
2094750.0,6655,-2882000.0,7866
2150750.0,6711,-2869000.0,7853
